institution.displayName,institution.state,institution.city,searchData.tuition.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,School Website,searchData.acceptanceRate.rawValue,ID,
Bethany Lutheran College,MN,Mankato,28080,739,1060-1245,http://www.blc.edu,78,150,
Bethel College,KS,North Newton,29390,444,920-1147,http://www.bethelks.edu,44,151,
Bethel University,MN,St. Paul,38460,2857,1033-1286,https://www.bethel.edu,71,152,
Bethel University,IN,Mishawaka,29170,1285,970-1170,http://www.betheluniversity.edu,92,153,
Bethel University,TN,McKenzie,17010,4560,820-1072,http://www.bethelu.edu,67,154,
Bethune-Cookman University,FL,Daytona Beach,14814,3620,850-1010,http://www.bethune.cookman.edu,79,155,
Binghamton University--SUNY,NY,Binghamton,27791,14021,1310-1440,http://www.binghamton.edu,40,156,
BI Norwegian Business School,,0484 Oslo,,,N/A,//www.bi.edu,,157,
Biola University,CA,La Mirada,41976,4010,1060-1260,http://www.biola.edu,87,158,
Birmingham-Southern College,AL,Birmingham,18238,1268,1040-1250,https://www.bsc.edu,57,159,
Bismarck State College,ND,Bismarck,5588,3778,N/A,https://bismarckstate.edu/,,160,
Blackburn College,IL,Carlinville,23510,566,940-1140,http://www.blackburn.edu,54,161,
Black Hills State University,SD,Spearfish,12155,3745,958-1180,http://www.bhsu.edu,88,162,
Blessing-Rieman College of Nursing and Health Sciences,IL,Quincy,27350,264,N/A,http://www.brcn.edu/,51,163,
Bloomfield College,NJ,Bloomfield,29550,,840-1040,http://www.bloomfield.edu,64,164,
Bloomsburg University of Pennsylvania,PA,Bloomsburg,22532,8253,990-1150,http://www.bloomu.edu,77,165,
Bluefield College,VA,Bluefield,27036,947,898-1063,http://www.bluefield.edu,94,166,
Bluefield State College,WV,Bluefield,14352,1275,890-1080,https://bluefieldstate.edu/,76,167,
Blue Mountain College,MS,Blue Mountain,14100,631,890-1100,https://bmc.edu/,93,168,
Bluffton University,OH,Bluffton,33736,700,870-1100,http://www.bluffton.edu,42,169,
Bob Jones University,SC,Greenville,19100,2647,1028-1230,http://www.butler.edu,78,170,
Boise State University,ID,Boise,24988,22064,1030-1220,http://www.boisestate.edu,81,171,
Boricua College,NY,New York,11025,639,N/A,http://www.boricuacollege.edu/,73,172,
Boston Architectural College,MA,Boston,21894,272,N/A,http://www.the-bac.edu,100,173,
Boston College,MA,Chestnut Hill,57910,9377,1320-1490,http://www.bc.edu,28,174,
Boston University,MA,Boston,55892,18515,1330-1500,http://www.bu.edu,22,175,
Bowdoin College,ME,Brunswick,56350,1828,1300-1510,https://www.bowdoin.edu,10,176,
Bowie State University,MD,Bowie,19136,5308,860-1020,//www.bowiestate.edu,33,177,
Bowling Green State University,OH,Bowling Green,19305,14858,1000-1200,http://www.bgsu.edu,72,178,
Bradley University,IL,Peoria,34610,4606,1090-1290,http://www.bradley.edu,67,179,
Brandeis University,MA,Waltham,57561,3639,1280-1500,http://www.brandeis.edu,31,180,
Brandman University,CA,Irvine,15440,4246,N/A,http://www.brandman.edu,79,181,
Brazosport College,TX,Lake Jackson,,,N/A,//www.brazosport.edu,,182,
Brenau University,GA,Gainesville,31084,1754,910-1140,http://www.brenau.edu,65,183,
Brescia University,KY,Owensboro,23500,991,1000-1220,http://www.brescia.edu,39,184,
Brevard College,NC,Brevard,30250,702,920-1100,http://www.brevard.edu,46,185,
Brewton-Parker College,GA,Mount Vernon,,,870-1060,http://www.bpc.edu,99,186,
Briar Cliff University,IA,Sioux City,30970,976,980-1180,http://www.briarcliff.edu,60,187,
Bridgewater College,VA,Bridgewater,36600,1839,980-1170,http://www.bridgewater.edu,66,188,
Bridgewater State University,MA,Bridgewater,16640,9504,990-1150,http://www.bridgew.edu/admissions,90,189,
Brigham Young University--Hawaii,HI,Laie Oahu,,,1090-1253,http://www.byuh.edu,37,190,
Brigham Young University--Idaho,ID,Rexburg,,,990-1180,http://www.byui.edu,95,191,
Brigham Young University--Provo,UT,Provo,5790,31441,1190-1420,http://www.byu.edu,64,192,
Brock University,,"St. Catharines, Ontario",,,N/A,//www.brocku.ca/,,193,
Broward College,FL,Fort Lauderdale,10779,40784,N/A,//www.broward.edu,100,194,
Brown University,RI,Providence,58504,7043,1420-1550,https://www.brown.edu/admission/undergraduate/,8,195,
Bryan College,TN,Dayton,28000,1241,974-1262,http://www.bryan.edu,51,196,
Bryan College of Health Sciences,NE,Lincoln,,,N/A,,,197,
Bryant University,RI,Smithfield,45395,3499,1130-1300,http://www.bryant.edu,76,198,
Bryn Athyn College of the New Church,PA,Bryn Athyn,24471,296,996-1203,http://www.brynathyn.edu,89,199,
Bryn Mawr College,PA,Bryn Mawr,54440,1360,1300-1500,http://www.brynmawr.edu,34,200,
Bucknell University,PA,Lewisburg,58196,3597,1250-1420,http://www.bucknell.edu,33,201,
Buena Vista University,IA,Storm Lake,35194,1619,920-1140,http://www.bvu.edu,58,202,
Butler University,IN,Indianapolis,42360,4698,1170-1330,http://www.butler.edu,68,203,
Cabarrus College of Health Sciences,NC,Concord,,,N/A,http://www.cabarruscollege.edu,,204,
Cabrini University,PA,Radnor,32775,1709,990-1170,http://www.cabrini.edu,72,205,
Cairn University,PA,Langhorne,27279,805,890-1130,http://cairn.edu/,89,206,
Caldwell University,NJ,Caldwell,35740,1651,960-1145,http://www.caldwell.edu,66,207,
California Baptist University,CA,Riverside,34922,7855,980-1200,http://www.calbaptist.edu,80,208,
California College of the Arts,CA,San Francisco,51092,1468,895-1200,http://www.cca.edu,88,209,
California Institute of Integral Studies,CA,San Francisco,,,N/A,http://www.ciis.edu,,210,
California Institute of Technology,CA,Pasadena,54600,948,1530-1580,http://www.caltech.edu,7,211,
California Institute of the Arts,CA,Valencia,,,N/A,http://www.calarts.edu,24,212,
California Lutheran University,CA,Thousand Oaks,44383,3059,1070-1250,http://www.callutheran.edu,71,213,
California Polytechnic State University--San Luis Obispo,CA,San Luis Obispo,21822,21037,1240-1430,http://www.calpoly.edu/,30,214,
California State Polytechnic University--Pomona,CA,Pomona,19233,24933,1020-1260,http://oregonstate.edu,55,215,
California State University--Bakersfield,CA,Bakersfield,19500,9196,880-1080,http://www.csub.edu,100,216,
California State University--Channel Islands,CA,Camarillo,,,N/A,http://www.csuci.edu,78,217,
California State University--Chico,CA,Chico,19458,16420,990-1170,http://www.csuchico.edu,65,218,
California State University--Dominguez Hills,CA,Carson,17644,13737,860-1030,http://www.csudh.edu,83,219,
California State University--East Bay,CA,Hayward,18864,12316,890-1090,http://www.csueastbay.edu,72,220,
California State University--Fresno,CA,Fresno,12725,22071,910-1110,http://www.csufresno.edu,58,221,
California State University--Fullerton,CA,Fullerton,16426,34751,1040-1220,http://www.fullerton.edu,43,222,
California State University--Long Beach,CA,Long Beach,17094,31447,1040-1250,http://www.csulb.edu,31,223,
California State University--Los Angeles,CA,Los Angeles,18643,24002,890-1080,http://www.calstatela.edu,42,224,
California State University--Maritime Academy,CA,Vallejo,18936,1017,1100-1275,https://www.csum.edu,67,225,
California State University--Monterey Bay,CA,Seaside,19023,6716,960-1160,http://www.csumb.edu,59,226,
California State University--Northridge,CA,Northridge,17622,34900,930-1130,http://www.csun.edu,43,227,
California State University--Sacramento,CA,Sacramento,19084,23450,940-1140,http://www.csus.edu,68,228,
California State University--San Bernardino,CA,San Bernardino,13064,17854,910-1080,http://www.csusb.edu,55,229,
California State University--San Marcos,CA,San Marcos,16576,13962,960-1235,http://www.csusm.edu,58,230,
California State University--Stanislaus,CA,Turlock,18972,9087,900-1090,http://www.csustan.edu,86,231,
California University of Pennsylvania,PA,California,14586,5174,900-1100,http://www.calu.edu/,97,232,
Calumet College of St. Joseph,IN,Whiting,20370,584,850-1020,http://www.ccsj.edu,20,233,
Calvary University,MO,Kansas City,,,N/A,http://www.calvary.edu,,234,
Calvin University,MI,Grand Rapids,36300,3625,1150-1370,//calvin.edu,79,235,
Cambridge College,MA,Cambridge,,,N/A,//www.cambridgecollege.edu,,236,
Cameron University,OK,Lawton,15870,3944,N/A,http://www.cameron.edu,100,237,
Campbellsville University,KY,Campbellsville,25400,5139,940-1153,http://www.campbellsville.edu,83,238,
Campbell University,NC,Buies Creek,33880,4242,1030-1210,http://www.campbell.edu,76,239,
Canisius College,NY,Buffalo,29428,2256,1050-1270,http://www.canisius.edu,79,240,
Capella University,MN,Minneapolis,,,N/A,//www.capella.edu,,241,
Capital University,OH,Columbus,36872,2494,1000-1210,https://www.capital.edu,73,242,
Capitol Technology University,MD,Laurel,,,N/A,//www.captechu.edu/,,243,
