institution.displayName,institution.state,institution.city,searchData.tuition.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,School Website,searchData.acceptanceRate.rawValue
California Baptist University,CA,Riverside,34922,7855,980-1200,http://www.calbaptist.edu,80
California College of the Arts,CA,San Francisco,51092,1468,895-1200,http://www.cca.edu,88
California Institute of Integral Studies,CA,San Francisco,,,N/A,http://www.ciis.edu,
California Institute of Technology,CA,Pasadena,54600,948,1530-1580,http://www.caltech.edu,7
California Institute of the Arts,CA,Valencia,,,N/A,http://www.calarts.edu,24
California Lutheran University,CA,Thousand Oaks,44383,3059,1070-1250,http://www.callutheran.edu,71
California Polytechnic State University--San Luis Obispo,CA,San Luis Obispo,21822,21037,1240-1430,http://www.calpoly.edu/,30
California State Polytechnic University--Pomona,CA,Pomona,19233,24933,1020-1260,http://oregonstate.edu,55
California State University--Bakersfield,CA,Bakersfield,19500,9196,880-1080,http://www.csub.edu,100
California State University--Channel Islands,CA,Camarillo,,,N/A,http://www.csuci.edu,78
California State University--Chico,CA,Chico,19458,16420,990-1170,http://www.csuchico.edu,65
California State University--Dominguez Hills,CA,Carson,17644,13737,860-1030,http://www.csudh.edu,83
California State University--East Bay,CA,Hayward,18864,12316,890-1090,http://www.csueastbay.edu,72
California State University--Fresno,CA,Fresno,12725,22071,910-1110,http://www.csufresno.edu,58
California State University--Fullerton,CA,Fullerton,16426,34751,1040-1220,http://www.fullerton.edu,43
California State University--Long Beach,CA,Long Beach,17094,31447,1040-1250,http://www.csulb.edu,31
California State University--Los Angeles,CA,Los Angeles,18643,24002,890-1080,http://www.calstatela.edu,42
California State University--Maritime Academy,CA,Vallejo,18936,1017,1100-1275,https://www.csum.edu,67
California State University--Monterey Bay,CA,Seaside,19023,6716,960-1160,http://www.csumb.edu,59
California State University--Northridge,CA,Northridge,17622,34900,930-1130,http://www.csun.edu,43
California State University--Sacramento,CA,Sacramento,19084,23450,940-1140,http://www.csus.edu,68
California State University--San Bernardino,CA,San Bernardino,13064,17854,910-1080,http://www.csusb.edu,55
California State University--San Marcos,CA,San Marcos,16576,13962,960-1235,http://www.csusm.edu,58
California State University--Stanislaus,CA,Turlock,18972,9087,900-1090,http://www.csustan.edu,86
California University of Pennsylvania,PA,California,14586,5174,900-1100,http://www.calu.edu/,97
Calumet College of St. Joseph,IN,Whiting,20370,584,850-1020,http://www.ccsj.edu,20
Calvary University,MO,Kansas City,,,N/A,http://www.calvary.edu,
Calvin University,MI,Grand Rapids,36300,3625,1150-1370,//calvin.edu,79
Cambridge College,MA,Cambridge,,,N/A,//www.cambridgecollege.edu,
Cameron University,OK,Lawton,15870,3944,N/A,http://www.cameron.edu,100
Campbellsville University,KY,Campbellsville,25400,5139,940-1153,http://www.campbellsville.edu,83
Campbell University,NC,Buies Creek,33880,4242,1030-1210,http://www.campbell.edu,76
Canisius College,NY,Buffalo,29428,2256,1050-1270,http://www.canisius.edu,79
Capella University,MN,Minneapolis,,,N/A,//www.capella.edu,
Capital University,OH,Columbus,36872,2494,1000-1210,https://www.capital.edu,73
Capitol Technology University,MD,Laurel,,,N/A,//www.captechu.edu/,
Cardinal Stritch University,WI,Milwaukee,31798,1457,872-1023,http://www.stritch.edu,71
Caribbean University,PR,Bayamon,,,N/A,//www.caribbean.edu/,
Carleton College,MN,Northfield,57111,2097,1350-1530,http://www.carleton.edu,20
Carleton University,,"Ottawa, Ontario",,,N/A,//www.carleton.ca/,
Carlos Albizu University,PR,San Juan,,,N/A,//www.albizu.edu/,
Carlos Albizu University--Miami,FL,Miami,,,N/A,http://www.albizu.edu/Admissions-and-Aid/How-to-Apply,
Carlow University,PA,Pittsburgh,30528,1333,1000-1180,http://www.carlow.edu,87
Carnegie Mellon University,PA,Pittsburgh,57119,6947,1450-1550,http://www.cmu.edu,17
Carroll College,MT,Helena,36280,1322,1070-1270,http://www.carroll.edu,78
Carroll University,WI,Waukesha,32960,2901,1050-1230,http://www.carrollu.edu/,69
Carson-Newman University,TN,Jefferson City,28900,1774,960-1168,http://www.cn.edu,66
Carthage College,WI,Kenosha,31500,2776,1020-1250,http://www.carthage.edu,68
Cascadia College,WA,Bothell,9297,3757,N/A,//www.national.edu/locations/campuses/austin/,
Case Western Reserve University,OH,Cleveland,50904,5262,1350-1520,http://www.case.edu,29
Castleton University,VT,Castleton,28322,1890,930-1170,http://www.castleton.edu,87
Catawba College,NC,Salisbury,30520,1325,910-1140,http://www.catawba.edu,52
The Catholic University of America,DC,Washington,47746,3332,1140-1320,https://www.catholic.edu/,84
Cazenovia College,NY,Cazenovia,35634,870,935-1142,http://www.cazenovia.edu,72
Cedar Crest College,PA,Allentown,40374,1323,940-1170,http://www.cedarcrest.edu,57
Cedarville University,OH,Cedarville,31322,3759,1130-1350,http://www.cedarville.edu,79
CEM College--San Juan,PR,San Juan,,,N/A,,
Centenary College of Louisiana,LA,Shreveport,37310,552,1050-1220,https://www.centenary.edu/,60
Centenary University,NJ,Hackettstown,32998,1266,870-1090,http://www.centenaryuniversity.edu,67
Central Baptist College,AR,Conway,16650,732,880-1026,//www.cbc.edu,60
Central Christian College,KS,McPherson,28700,722,890-1120,//www.centralchristian.edu,46
Central College,IA,Pella,,,950-1220,http://www.central.edu,70
Central Connecticut State University,CT,New Britain,22870,9546,980-1170,http://www.ccsu.edu,67
Centralia College,WA,Centralia,,,N/A,,
Central Methodist University,MO,Fayette,24420,1148,950-1130,http://www.centralmethodist.edu,93
Central Michigan University,MI,Mount Pleasant,12960,16432,1000-1200,http://www.cmich.edu,69
Central Penn College,PA,Summerdale,18714,1023,N/A,//www.centralpenn.edu,72
Central State University,OH,Wilberforce,8346,2099,710-880,http://www.centralstate.edu,57
Central Washington University,WA,Ellensburg,22738,11222,930-1130,http://www.cwu.edu,78
Centre College,KY,Danville,43000,1434,1190-1420,http://www.centre.edu,73
Chadron State College,NE,Chadron,,,N/A,//www.csc.edu,
Chamberlain University,IL,Downers Grove,,,N/A,http://www.chamberlain.edu,
Chaminade University of Honolulu,HI,Honolulu,26134,1099,970-1130,https://chaminade.edu/,97
Champlain College,VT,Burlington,41828,2129,1090-1280,http://www.champlain.edu,75
Chapman University,CA,Orange,54924,7281,1190-1370,http://www.chapman.edu,54
Charles R. Drew University of Medicine and Science,CA,Los Angeles,17440,169,850-1070,http://www.cdrewu.edu,35
Charleston Southern University,SC,Charleston,25540,2945,1020-1190,https://www.charlestonsouthern.edu/,52
Charter Oak State College,CT,New Britain,13467,1549,N/A,http://www.charteroak.edu,
Chatham University,PA,Pittsburgh,38738,1105,1040-1250,http://www.chatham.edu,55
Chestnut Hill College,PA,Philadelphia,37200,1293,940-1120,http://www.chc.edu,96
Cheyney University of Pennsylvania,PA,Cheyney,,,N/A,http://www.cheyney.edu,39
Chicago School of Professional Psychology at Los Angeles,CA,Los Angeles,,,N/A,,
Chicago State University,IL,Chicago,,,840-1078,http://www.csu.edu,78
Chipola College,FL,Marianna,19526,,N/A,http://www.chipola.edu,
Chowan University,NC,Murfreesboro,25480,1395,810-1000,https://chowan.edu/,59
Christ College of Nursing and Health Sciences,OH,Cincinnati,15085,,N/A,,
Christian Brothers University,TN,Memphis,33840,1546,N/A,http://www.cbu.edu,56
Christopher Newport University,VA,Newport News,27458,4857,1110-1280,http://www.cnu.edu,68
Cincinnati Christian University,OH,Cincinnati,,,N/A,//www.ccuniversity.edu/,
Cincinnati College of Mortuary Science,OH,Cincinnati,,,N/A,//www.ccms.edu,
The Citadel,SC,Charleston,34988,2911,1030-1220,http://www.citadel.edu,81
City University of Seattle,WA,Seattle,,,N/A,//www.cityu.edu,
Claflin University,SC,Orangeburg,16722,2080,860-1040,http://www.claflin.edu,56
Claremont McKenna College,CA,Claremont,56475,1324,1350-1500,http://www.claremontmckenna.edu,9
